,category,confidence
1,Billing,0.95
2,Billing,0.95
3,Billing,0.95
4,Billing,0.95
5,Technical,0.95
6,Technical,0.95
7,Technical,0.95
8,Technical,0.95
9,Feature Request,0.95
10,Feature Request,0.95
11,Feature Request,0.95
12,Feature Request,0.95
13,Technical,0.85
14,Technical,0.95
15,Billing,0.95
16,Billing,0.95
17,Technical,0.95
18,Feature Request,0.95
19,Technical,0.95
20,Billing,0.95
21,Billing,0.95
22,Billing,0.95
23,Technical,0.95
24,Technical,0.85
25,Technical,0.85
26,Billing,0.95
27,Feature Request,0.95
28,Spam,0.95
29,Technical,0.85
30,Feature Request,0.95
